provider,bookmaker,event_id,match_id,commence_time_utc,provider_update_utc,home_team,away_team,price_home,price_draw,price_away
manual,book-consensus,4930db8e83436874d09e59bd0e29c1a5,WC26-074,2026-06-29T20:30:00Z,2026-06-29T16:17:36Z,Germany,Paraguay,1.35,5.0,9.32
manual,book-consensus,5a34afe2de99513ba48360b983cfe80c,WC26-075,2026-06-30T01:00:00Z,2026-06-29T16:17:36Z,Netherlands,Morocco,2.3,3.1,3.45
manual,book-consensus,4f3d72fba877939d36a5315618184093,WC26-076,2026-06-29T17:00:00Z,2026-06-29T16:17:36Z,Brazil,Japan,1.79,3.5,4.93
manual,book-consensus,0b5491529142c9bcc3f88bf45ccb0a7b,WC26-077,2026-06-30T21:00:00Z,2026-06-29T16:17:36Z,France,Sweden,1.27,6.0,10.25
manual,book-consensus,ce017bea1a26252278053ce759e2416b,WC26-078,2026-06-30T17:00:00Z,2026-06-29T16:17:36Z,Ivory Coast,Norway,3.6,3.5,2.05
manual,book-consensus,f58c55a9da96af562c31b7c5cca40187,WC26-079,2026-07-01T01:00:00Z,2026-06-29T16:17:36Z,Mexico,Ecuador,2.21,2.94,3.88
manual,book-consensus,5ff7744314f224c18d1604ee9cc19263,WC26-080,2026-07-01T16:00:00Z,2026-06-29T16:17:36Z,England,DR Congo,1.27,5.5,12.12
manual,book-consensus,9eeb4876001f5a52ce3c3641bd5f1f2f,WC26-081,2026-07-02T00:00:00Z,2026-06-29T16:17:36Z,USA,Bosnia & Herzegovina,1.36,4.95,9.0
manual,book-consensus,658ac8cbf214ca3cc150109b4ddc1e74,WC26-082,2026-07-01T20:00:00Z,2026-06-29T16:17:36Z,Belgium,Senegal,2.2,3.22,3.52
manual,book-consensus,852b4baf0be4b9eef2a30596a8d39249,WC26-083,2026-07-02T23:00:00Z,2026-06-29T16:17:36Z,Portugal,Croatia,1.77,3.6,4.85
manual,book-consensus,a518ac20df8f5c732b881e213ae0c230,WC26-084,2026-07-02T19:00:00Z,2026-06-29T16:17:36Z,Spain,Austria,1.3,5.22,11.12
manual,book-consensus,c17fe2e46190d7ab6af01504ff240e82,WC26-085,2026-07-03T03:00:00Z,2026-06-29T16:17:36Z,Switzerland,Algeria,2.0,3.3,4.05
manual,book-consensus,3e161b2448ed76d6b0c0f5bda6fd5bf2,WC26-086,2026-07-03T22:00:00Z,2026-06-29T16:17:36Z,Argentina,Cape Verde,1.17,7.5,18.0
manual,book-consensus,88e032a2b2e5042d26db3f0da1df924a,WC26-087,2026-07-04T01:30:00Z,2026-06-29T16:17:36Z,Colombia,Ghana,1.52,3.98,7.0
manual,book-consensus,fb270a3dac2b682c861bd674a5ff4a04,WC26-088,2026-07-03T18:00:00Z,2026-06-29T16:17:36Z,Australia,Egypt,3.3,2.9,2.5
